altered bozz rotj ilias candidates clueless drugged messy prologue till
home lost before three new since human war others death
; son apartment male home room work genre cinema married
lunch ham deliberate urgency rampant collective grounded youngsters vile defense
cries drags lift scripted repulsive graduate shake mute shocks platform
grinch ramones nbc reunion priceless sitcom funny dating seinfeld cartoon
someone zombie & guy blood house hell stuff creepy killer
military alien angry humans enter disturbing computer religion force china
animated disney superman batman probably cartoon original though action animation
era develop magic stunning remembered terrific essence epic impressive quiet
Coherence scores are: 0.4061610132042651, topic diversity: 0.98, semantic purity: 99.0
