comic lines act badly dialogue begin directing able middle perfectly
movie character book story characters like good plot read movies
television episode ago episodes shows world tv earth air years
film life world war story love character characters book american
man wife played young son town father woman br gets
worst waste bad awful money movie acting terrible seen worse
film like people films girl think know guy actually horror
film good version original films character great effects cast series
movie great good movies love funny fun think watch saw
ago middle children able recently child begin perfectly copy enjoyed
Coherence scores are: 0.41743988327244014, topic diversity: 0.77
